node_id,tgn_memory,gt_embedding,scn_embedding
40,"[ 0.07786158 -0.10717251 -0.02665255  0.17567691 -0.01611756 -0.0410674
 -0.16923206  0.01059271]","[ 1.1913434  -0.9897338   0.12728363  1.4065346  -0.41466102 -0.02937802
 -1.785836    0.49444756]","[-0.3127248  -0.1736424  -0.07428251 -0.5268587  -1.5525308   0.09808767
 -0.20614657 -0.7143817 ]"
41,"[ 0.07786158 -0.10717253 -0.02665255  0.17567691 -0.01611756 -0.04106741
 -0.16923206  0.01059271]","[ 1.1913434  -0.98973393  0.12728359  1.4065346  -0.414661   -0.02937806
 -1.785836    0.4944476 ]","[-0.3127248  -0.1736424  -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
42,"[ 0.07786158 -0.10717253 -0.02665256  0.17567691 -0.01611755 -0.04106741
 -0.16923206  0.01059271]","[ 1.1913434  -0.98973393  0.12728357  1.4065346  -0.4146609  -0.02937802
 -1.785836    0.49444753]","[-0.3127248  -0.1736424  -0.07428251 -0.5268587  -1.5525308   0.09808767
 -0.20614657 -0.7143817 ]"
43,"[ 0.07785967 -0.10714445 -0.02663855  0.17565918 -0.0161347  -0.04105825
 -0.16920324  0.01061666]","[ 1.191372   -0.9896638   0.12735048  1.4064264  -0.4148864  -0.02946057
 -1.785818    0.49468014]","[-0.31272396 -0.17364514 -0.07428382 -0.5268593  -1.552532    0.09808309
 -0.20614602 -0.71438223]"
44,"[ 0.07783352 -0.10720598 -0.02661762  0.1756766  -0.01613547 -0.04109675
 -0.16921008  0.01061309]","[ 1.1912122  -0.99005324  0.12767933  1.4065084  -0.41476595 -0.02956622
 -1.7856574   0.4946429 ]","[-0.3127164  -0.17365006 -0.07428931 -0.52686095 -1.5525331   0.09807779
 -0.20614697 -0.71438706]"
45,"[ 0.077797   -0.10724593 -0.02656297  0.17566542 -0.01615682 -0.04114744
 -0.16916755  0.01065714]","[ 1.1910688  -0.99050564  0.12827113  1.40638    -0.41489968 -0.02995203
 -1.7854108   0.49504814]","[-0.31270212 -0.17366275 -0.07429983 -0.5268661  -1.5525373   0.09806126
 -0.20614806 -0.71439415]"
46,"[ 0.07785162 -0.10718327 -0.02663716  0.17567329 -0.01612325 -0.04108193
 -0.16921976  0.01060566]","[ 1.1913059  -0.98985946  0.12744923  1.4064945  -0.4146969  -0.02949081
 -1.7857684   0.4945662 ]","[-0.3127209  -0.17364597 -0.07428546 -0.5268603  -1.552532    0.09808291
 -0.20614693 -0.71438366]"
47,"[ 0.07792757 -0.10705422 -0.02668308  0.1756138  -0.01607822 -0.04104834
 -0.16919877  0.01064357]","[ 1.1918074  -0.98908365  0.12674181  1.4060742  -0.41456255 -0.02964494
 -1.7861923   0.49486026]","[-0.31273025 -0.1736381  -0.07427503 -0.5268643  -1.5525291   0.09809075
 -0.20614815 -0.71436965]"
48,"[ 0.07785481 -0.10717539 -0.02664111  0.17567267 -0.01612413 -0.04107435
 -0.16922072  0.01060341]","[ 1.1913213  -0.98980135  0.12739533  1.4064993  -0.41472012 -0.0294524
 -1.7857906   0.49454853]","[-0.31272233 -0.17364493 -0.07428451 -0.52685964 -1.5525317   0.09808417
 -0.20614664 -0.71438307]"
49,"[ 0.07786147 -0.10717264 -0.02665241  0.1756769  -0.01611764 -0.04106751
 -0.16923197  0.01059279]","[ 1.191343   -0.9897351   0.12728526  1.4065343  -0.41466147 -0.02937878
 -1.7858355   0.4944484 ]","[-0.31272477 -0.17364243 -0.07428254 -0.52685875 -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
50,"[ 0.07786135 -0.10717182 -0.02665213  0.17567661 -0.01611837 -0.04106682
 -0.16923131  0.01059312]","[ 1.1913427  -0.9897321   0.12728599  1.4065336  -0.4146701  -0.02937742
 -1.7858348   0.49445224]","[-0.31272483 -0.17364249 -0.07428257 -0.5268587  -1.5525308   0.09808757
 -0.2061465  -0.71438175]"
51,"[ 0.07786148 -0.10717268 -0.02665243  0.17567693 -0.01611759 -0.04106754
 -0.16923201  0.01059278]","[ 1.1913427  -0.98973495  0.12728515  1.4065344  -0.414661   -0.02937877
 -1.7858356   0.49444824]","[-0.31272477 -0.17364243 -0.07428254 -0.52685875 -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
52,"[ 0.07786176 -0.10717025 -0.02665212  0.17567587 -0.01611861 -0.04106622
 -0.16923052  0.01059385]","[ 1.1913464  -0.9897245   0.12728262  1.406529   -0.41467565 -0.02937914
 -1.785837    0.4944591 ]","[-0.31272498 -0.17364249 -0.07428251 -0.52685875 -1.5525308   0.09808753
 -0.2061465  -0.71438175]"
53,"[ 0.07786177 -0.10717142 -0.02665241  0.17567635 -0.01611788 -0.04106695
 -0.16923134  0.01059331]","[ 1.1913453  -0.9897293   0.12728247  1.4065309  -0.41466644 -0.02937941
 -1.7858368   0.49445325]","[-0.3127249  -0.17364243 -0.07428257 -0.5268588  -1.5525308   0.09808759
 -0.20614657 -0.71438175]"
54,"[ 0.07785723 -0.10717356 -0.02664674  0.17567576 -0.01612306 -0.04106837
 -0.16922651  0.0105967 ]","[ 1.1913248  -0.9897637   0.12733948  1.4065284  -0.41471124 -0.02939687
 -1.7858095   0.49448887]","[-0.31272393 -0.1736435  -0.07428344 -0.5268588  -1.5525312   0.09808609
 -0.20614645 -0.7143826 ]"
55,"[ 0.07786088 -0.10717166 -0.0266514   0.1756763  -0.01611909 -0.04106686
 -0.16923048  0.01059378]","[ 1.1913413  -0.9897344   0.1272924   1.4065317  -0.4146772  -0.02938028
 -1.7858319   0.49445897]","[-0.31272477 -0.17364258 -0.07428266 -0.5268587  -1.5525308   0.09808732
 -0.20614652 -0.7143819 ]"
56,"[ 0.07786138 -0.10717281 -0.02665232  0.17567693 -0.01611765 -0.04106765
 -0.16923195  0.01059284]","[ 1.1913424  -0.9897362   0.1272865   1.4065341  -0.4146613  -0.02937939
 -1.785835    0.4944489 ]","[-0.31272477 -0.17364249 -0.07428257 -0.52685875 -1.5525308   0.09808762
 -0.20614657 -0.71438175]"
57,"[ 0.07786107 -0.1071725  -0.0266519   0.17567678 -0.01611835 -0.04106728
 -0.1692314   0.01059311]","[ 1.191341   -0.9897364   0.12728961  1.4065342  -0.4146686  -0.02937879
 -1.7858332   0.4944521 ]","[-0.3127248  -0.17364252 -0.0742826  -0.5268587  -1.5525308   0.09808751
 -0.2061465  -0.71438175]"
58,"[ 0.07806974 -0.10692599 -0.02688323  0.17564741 -0.01596922 -0.04090216
 -0.16935727  0.01049586]","[ 1.1923981  -0.98754454  0.12461516  1.4064238  -0.41375762 -0.02847447
 -1.7871171   0.4934568 ]","[-0.31066936 -0.17580813 -0.07592888 -0.52760035 -1.5532917   0.09510877
 -0.20619828 -0.71546817]"
59,"[ 0.07799228 -0.10711818 -0.02687685  0.17576265 -0.01599193 -0.04092813
 -0.16945636  0.01037935]","[ 1.1917615  -0.9884154   0.1250984   1.4072458  -0.41352478 -0.02788625
 -1.7867227   0.49244335]","[-0.3106652  -0.175805   -0.07593898 -0.52758265 -1.5532901   0.09512141
 -0.20619528 -0.71549326]"
60,"[ 0.07801767 -0.10710574 -0.02691422  0.17577209 -0.01596579 -0.0409101
 -0.16949077  0.01034974]","[ 1.191861   -0.9881869   0.12472703  1.4073198  -0.41329712 -0.02769399
 -1.7868853   0.49215564]","[-0.3106785  -0.17579061 -0.07592748 -0.5275791  -1.553285    0.09514099
 -0.20619541 -0.7154844 ]"
