node_id,video_id,title,views,likes,comments,timestamp,category_id,category_name,source_type
5359,YyuRSYnacNw,"⚡️[속보 1분뉴스]“이 대통령, 나토 불참 확정…왜?” #Shorts #1분뉴스 #속보 #유튜브속보 #유튜브속보 #속보뉴스",875,11,2,1750658406,25,News & Politics,키워드:속보
5360,OMrhDyA044s,"박찬대,장관 갈뻔^^/속보,이재명대통령, 나토 안간다/당원들은 왜 정청래를 외면 할까",11250,1785,48,1750658406,20,Gaming,키워드:속보
5361,G3mL80Bd0iQ,"[속보] 미국, 이란 핵시설 3개 직접 타격‥""벙커버스터 12개, 토마호크 30기 사용""..트럼프 ""이란, 전쟁 끝내야"" - [MBC뉴스속보] 2025년 6월 22일",553666,5235,110,1750658406,25,News & Politics,키워드:속보
5362,FN-4GA37Dik,"[속보] 트럼프 ""미국, 이란 핵시설 3곳 정밀 타격""…포르도 핵시설에 벙커버스터 6개 투하 / YTN",961714,5733,27,1750658406,25,News & Politics,키워드:속보
5363,BzJ21i6q4WU,"[🔴속보] 트럼프 ""이란 핵 시설 3곳 성공적 공격""...""이란, 이제 전쟁 끝내야"" / 연합뉴스TV(YonhapnewsTV)",969140,8292,9,1750658406,25,News & Politics,키워드:속보
5364,Bs8n38L7gLg,"[속보] 트럼프 ""이란 시설 완전 파괴"" 대국민연설..이란 ""국제법 위반..결정적 피해 없어""..유엔총장 ""위험한 확전"" - [MBC뉴스속보] 2025년 6월 22일",282397,2349,75,1750658406,25,News & Politics,키워드:속보
5365,9-2EvzJ6qmA,"[속보] 미국, 이란 핵시설 3곳 공격…트럼프 ""이란, 평화 불응 시 더 강력 공격""/이란, 중동 미군기지 보복 시사...핵 확전 기로/2025년 6월 22일(일)/KBS",334775,1377,88,1750658406,25,News & Politics,키워드:속보
5366,MfyRIfVI0L0,"[🔴속보] 대통령실 ""이 대통령, 나토 정상회의 불참...중동 정세 불확실성 등 고려"" / 연합뉴스TV(YonhapnewsTV)",45126,683,4,1750658406,25,News & Politics,키워드:속보
5367,N6zoYjyFGCc,"[🔴속보] 이스라엘군 ""이란, 미사일 다수 발사""…이스라엘 텔아비브 곳곳 폭음 / 연합뉴스TV(YonhapnewsTV)",576130,3096,5,1750658406,25,News & Politics,키워드:속보
5368,wq6VSE2wyXs,"[코나아이 주가전망] 긴급! 지금 이 속보가 터져?! 제발 ""이렇게"" 공략하세요 코나아이전망 코나아이시세 코나아이목표가 코나아이",2844,35,0,1750658406,25,News & Politics,키워드:속보
5369,fNG7op3WqzE,"도쿄 일상 브이로그🍑 한국페어를 하는 편의점 신상소개 | 일본살이 24년차 주부의 마트 장보고 딸을 위한 정성가득 캐릭터 도시락 싸기 | 스모 동네 탐방, 모모의 연애 이야기❤️",987,64,30,1750658407,22,Unknown,키워드:일상
5370,i4hXqT4bQBA,"다이어트 잠정 중단, 요즘 빠진 노래와 귀여운 일상들",19358,477,32,1750658407,22,Unknown,키워드:일상
5371,bWOEUN9F--o,일본 여성들이 한국 남자에게 빠지는 진짜 이유 (일본 현지 반응 충격),2342,38,1,1750658408,25,News & Politics,키워드:해외반응
5372,apIW-jTfLkM,"[[해외감동사연]] 집까지 빼앗긴 노르웨이 여자들이 싹 다 한국으로!- 환경규제에 진심인 노르웨이, LPG보일러도 금지!  한국에서 방법 찾은 사연!",6913,405,6,1750658408,22,Unknown,키워드:해외반응
5373,cyJ2wXmxGCA,"[해외반응] ""이렇게 큰 건 처음봐!"" 탄자니아의 마른 땅에서 피어난 한국의 기적, 그리고 한글의 확산 | 해외감동사연",50,5,0,1750658408,25,News & Politics,키워드:해외반응
